Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
984,Jose Valentin#,26,MIL,AL,154,628,552,90,143,33,7,24,95,17,4,66,145,.259,.336,.475,.811,100,262,4,0,6,4,9,*6/H,valenjo03
985,Fernando Valenzuela*,35,SDP,NL,36,66,63,4,9,2,0,0,2,0,0,0,15,.143,.143,.175,.317,-14,11,0,0,3,0,0,1/H,valenfe01
986,Dave Valle,35,TEX,AL,42,95,86,14,26,6,1,3,17,0,0,9,17,.302,.368,.500,.868,113,43,3,0,0,0,0,2/3HD,valleda01
987,John Vander Wal*,30,COL,NL,104,173,151,20,38,6,2,5,31,2,2,19,38,.252,.335,.417,.752,81,63,1,1,0,2,2,H73/9,vandejo02
988,William VanLandingham,25,SFG,NL,32,70,61,3,8,1,0,0,2,0,0,2,31,.131,.156,.148,.304,-17,9,1,0,6,1,0,1,vanlawi01
989,Greg Vaughn,30,TOT,MLB,145,609,516,98,134,19,1,41,117,9,3,82,130,.260,.365,.539,.903,127,278,7,6,0,5,6,*7/H8D,vaughgr01
990,Greg Vaughn,30,MIL,AL,102,442,375,78,105,16,0,31,95,5,2,58,99,.280,.378,.571,.948,133,214,6,4,0,5,4,7/8DH,vaughgr01
991,Greg Vaughn,30,SDP,NL,43,167,141,20,29,3,1,10,22,4,1,24,31,.206,.329,.454,.783,110,64,1,2,0,0,2,7/H,vaughgr01
992,Mo Vaughn*,28,BOS,AL,161,752,635,118,207,29,1,44,143,2,0,95,154,.326,.420,.583,1.003,150,370,17,14,0,8,19,*3D,vaughmo01
993,Randy Velarde,33,CAL,AL,136,611,530,82,151,27,3,14,54,7,7,70,118,.285,.372,.426,.799,104,226,7,5,4,2,0,*45/6H,velarra01
994,Robin Ventura*,28,CHW,AL,158,674,586,96,168,31,2,34,105,1,3,78,81,.287,.368,.520,.888,127,305,18,2,0,8,10,*53H,venturo01
995,Dario Veras,23,SDP,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,verasda01
996,Quilvio Veras#,25,FLA,NL,73,308,253,40,64,8,1,4,14,8,8,51,42,.253,.381,.340,.721,95,86,3,2,1,1,1,4/H,verasqu01
997,Dave Veres,29,MON,NL,68,8,8,1,3,1,0,0,1,0,0,0,4,.375,.375,.500,.875,127,4,0,0,0,0,0,1,veresda01
998,Ron Villone*,26,TOT,MLB,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,villoro01
999,Ron Villone*,26,SDP,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,villoro01
1000,Fernando Vina*,27,MIL,AL,140,615,554,94,157,19,10,7,46,16,7,38,35,.283,.342,.392,.733,83,217,15,13,6,4,3,*4/H,vinafe01
1001,Joe Vitiello,26,KCR,AL,85,301,257,29,62,15,1,8,40,2,0,38,69,.241,.342,.401,.743,89,103,12,3,0,3,2,DH/39,vitiejo01
1002,Jose Vizcaino#,28,TOT,MLB,144,593,542,70,161,17,8,1,45,15,7,35,82,.297,.341,.363,.705,87,197,8,3,10,3,0,*4/H6D,vizcajo01
1003,Jose Vizcaino#,28,NYM,NL,96,402,363,47,110,12,6,1,32,9,5,28,58,.303,.356,.377,.733,99,137,6,3,6,2,0,4/H,vizcajo01
1004,Jose Vizcaino#,28,CLE,AL,48,191,179,23,51,5,2,0,13,6,2,7,24,.285,.310,.335,.645,65,60,2,0,4,1,0,4/6DH,vizcajo01
1005,Omar Vizquel#,29,CLE,AL,151,623,542,98,161,36,1,9,64,35,9,56,42,.297,.362,.417,.779,98,226,10,4,12,9,0,*6/H,vizquom01
1006,Jack Voigt,30,TEX,AL,5,9,9,1,1,0,0,0,0,0,0,0,2,.111,.111,.111,.222,-44,1,0,0,0,0,0,/7H59,voigtja01
1007,Terrell Wade*,23,ATL,NL,44,16,13,0,2,0,0,0,1,0,0,1,7,.154,.214,.154,.368,-2,2,1,0,2,0,0,1,wadete01
1008,Billy Wagner*,24,HOU,NL,37,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,wagnebi02
1009,Paul Wagner,28,PIT,NL,17,30,25,1,1,0,0,0,2,0,1,2,8,.040,.111,.040,.151,-58,1,0,0,3,0,0,1/H,wagnepa01
1010,Dave Wainhouse*,28,PIT,NL,17,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,wainhda01
1011,Matt Walbeck#,26,MIN,AL,63,227,215,25,48,10,0,2,24,3,1,9,34,.223,.252,.298,.550,38,64,6,0,1,2,0,2/H,walbema01
1012,Larry Walker*,29,COL,NL,83,304,272,58,75,18,4,18,58,18,2,20,58,.276,.342,.570,.912,116,155,7,9,0,3,2,89/H,walkela01
1013,Pete Walker,27,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,walkepe01
1014,Todd Walker*,23,MIN,AL,25,89,82,8,21,6,0,0,6,2,0,4,13,.256,.281,.329,.610,54,27,4,0,0,3,0,5/4HD,walketo04
1015,Donne Wall,28,HOU,NL,26,54,44,5,9,1,0,0,1,0,0,2,11,.205,.239,.227,.466,29,10,0,0,8,0,0,1,walldo01
1016,Derek Wallace,24,NYM,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wallade01
1017,Tim Wallach,38,TOT,MLB,102,384,352,37,82,10,1,12,42,1,1,30,79,.233,.297,.369,.666,74,130,7,2,0,0,2,5/DH3,wallati01
1018,Tim Wallach,38,CAL,AL,57,209,190,23,45,7,0,8,20,1,0,18,47,.237,.306,.400,.706,79,76,3,1,0,0,2,5/DH3,wallati01
1019,Tim Wallach,38,LAD,NL,45,175,162,14,37,3,1,4,22,0,1,12,32,.228,.286,.333,.619,68,54,4,1,0,0,0,5/H,wallati01
1020,Jerome Walton,30,ATL,NL,37,55,47,9,16,5,0,1,4,0,0,5,10,.340,.389,.511,.900,131,24,1,0,1,2,0,7H/98,waltoje01
1021,Turner Ward#,31,MIL,AL,43,82,67,7,12,2,1,2,10,3,0,13,17,.179,.309,.328,.637,60,22,3,0,1,1,0,97H/8D,wardtu01
1022,Allen Watson*,25,SFG,NL,32,72,65,5,15,3,0,0,7,0,0,5,8,.231,.286,.277,.563,53,18,3,0,2,0,0,1/H,watsoal01
1023,David Weathers,26,TOT,MLB,32,20,19,1,3,0,0,1,2,0,0,0,13,.158,.200,.316,.516,36,6,0,1,0,0,0,1/H,weathda01
1024,David Weathers,26,FLA,NL,32,20,19,1,3,0,0,1,2,0,0,0,13,.158,.200,.316,.516,36,6,0,1,0,0,0,1/H,weathda01
1025,Lenny Webster,31,MON,NL,78,203,174,18,40,10,0,2,17,0,0,25,21,.230,.332,.322,.654,73,56,10,2,1,1,2,2H,webstle01
1026,John Wehner,29,PIT,NL,86,149,139,19,36,9,1,2,13,1,5,8,22,.259,.299,.381,.681,76,53,3,0,2,0,1,H584/792,wehnejo01
1027,Walt Weiss#,32,COL,NL,155,624,517,89,146,20,2,8,48,10,2,80,78,.282,.381,.375,.756,85,194,9,6,14,6,5,*6/H,weisswa01
1028,Turk Wendell#,29,CHC,NL,70,4,2,0,1,0,0,0,0,0,0,1,0,.500,.667,.500,1.167,212,1,0,0,1,0,0,1/H,wendetu01
1029,David West*,31,PHI,NL,7,11,7,0,2,0,0,0,0,0,0,2,2,.286,.444,.286,.730,100,2,0,0,2,0,0,/1,westda01
1030,John Wetteland,29,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wettejo01
1031,Devon White#,33,FLA,NL,146,611,552,77,151,37,6,17,84,22,6,38,99,.274,.325,.455,.779,106,251,8,8,4,9,6,*8/H,whitede03
1032,Rondell White,24,MON,NL,88,359,334,35,98,19,4,6,41,14,6,22,53,.293,.340,.428,.768,100,143,11,2,0,1,0,8/H,whitero02
1033,Mark Whiten#,29,TOT,MLB,136,486,412,76,108,20,1,22,71,17,9,70,127,.262,.372,.476,.848,119,196,12,3,0,1,6,*97H/8,whitema01
1034,Mark Whiten#,29,TOT,NL,96,323,272,45,66,13,1,10,38,15,8,49,87,.243,.359,.408,.767,102,111,11,1,0,1,2,9H/8,whitema01
1035,Mark Whiten#,29,PHI,NL,60,216,182,33,43,8,0,7,21,13,3,33,62,.236,.356,.396,.752,100,72,9,1,0,0,2,9H/8,whitema01
1036,Mark Whiten#,29,ATL,NL,36,107,90,12,23,5,1,3,17,2,5,16,25,.256,.364,.433,.798,106,39,2,0,0,1,0,9/H,whitema01
1037,Mark Whiten#,29,SEA,AL,40,163,140,31,42,7,0,12,33,2,1,21,40,.300,.399,.607,1.006,151,85,1,2,0,0,4,7/9H,whitema01
1038,Bob Wickman,27,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wickmbo01
1039,Bob Wickman,27,MIL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wickmbo01
1040,Chris Widger,25,SEA,AL,8,12,11,1,2,0,0,0,0,0,0,0,5,.182,.250,.182,.432,13,2,0,1,0,0,0,/2H,widgech01
1041,Marc Wilkins,25,PIT,NL,47,10,9,1,2,0,0,0,1,0,0,1,6,.222,.300,.222,.522,39,2,0,0,0,0,0,1,wilkima01
1042,Rick Wilkins*,29,TOT,NL,136,489,411,53,100,18,2,14,59,0,3,67,121,.243,.344,.399,.743,102,164,5,1,0,10,13,*2H/3,wilkiri01
1043,Rick Wilkins*,29,HOU,NL,84,306,254,34,54,8,2,6,23,0,1,46,81,.213,.330,.331,.661,82,84,1,1,0,5,10,2/H,wilkiri01
1044,Rick Wilkins*,29,SFG,NL,52,183,157,19,46,10,0,8,36,0,2,21,40,.293,.366,.510,.876,134,80,4,0,0,5,3,2/H3,wilkiri01
1045,Bernie Williams#,27,NYY,AL,143,641,551,108,168,26,7,29,102,17,4,82,72,.305,.391,.535,.926,131,295,15,0,1,7,8,*8/DH,willibe02
1046,Eddie Williams,31,DET,AL,77,237,215,22,43,5,0,6,26,0,2,18,50,.200,.267,.307,.574,45,66,8,2,0,1,0,DH/359,willied01
1047,George Williams#,27,OAK,AL,56,166,132,17,20,5,0,3,10,0,0,28,32,.152,.311,.258,.569,46,34,3,3,2,1,1,2D/H,willige03
1048,Gerald Williams,29,TOT,AL,125,357,325,43,82,19,4,5,34,10,9,19,57,.252,.299,.382,.681,70,124,8,5,3,5,3,*78H9/D,willige02
1049,Gerald Williams,29,NYY,AL,99,258,233,37,63,15,4,5,30,7,8,15,39,.270,.319,.433,.753,88,101,7,4,1,5,2,7H89/D,willige02
1050,Gerald Williams,29,MIL,AL,26,99,92,6,19,4,0,0,4,3,1,4,18,.207,.247,.250,.497,25,23,1,1,2,0,1,8/9,willige02
1051,Keith Williams,24,SFG,NL,9,20,20,0,5,0,0,0,0,0,0,0,6,.250,.250,.250,.500,36,5,0,0,0,0,0,/H97,willike03
1052,Matt Williams,30,SFG,NL,105,455,404,69,122,16,1,22,85,1,2,39,91,.302,.367,.510,.877,134,206,10,6,0,6,9,53/H6,willima04
1053,Mike Williams,27,PHI,NL,33,59,51,4,8,0,0,0,1,1,0,2,11,.157,.189,.157,.346,-7,8,0,0,6,0,0,1/H,willimi03
1054,Dan Wilson,27,SEA,AL,138,540,491,51,140,24,0,18,83,1,2,32,88,.285,.330,.444,.774,95,218,15,3,9,5,2,*2/H,wilsoda01
1055,Desi Wilson*,27,SFG,NL,41,130,118,10,32,2,0,2,12,0,2,12,27,.271,.338,.339,.677,84,40,2,0,0,0,2,3/H,wilsode01
1056,Nigel Wilson*,26,CLE,AL,10,13,12,2,3,0,0,2,5,0,0,1,6,.250,.308,.750,1.058,157,9,0,0,0,0,0,/HD7,wilsoni01
1057,Paul Wilson,23,NYM,NL,26,56,50,3,4,0,0,1,4,0,0,1,32,.080,.115,.140,.255,-31,7,0,1,4,0,0,1,wilsopa02
1058,Mark Wohlers,26,ATL,NL,77,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,wohlema01
1059,Steve Wojciechowski*,25,OAK,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/HD,wojcist01
1060,Tony Womack*,26,PIT,NL,17,40,30,11,10,3,1,0,7,2,0,6,1,.333,.459,.500,.959,151,15,0,1,3,0,0,H/849,womacto01
1061,Brad Woodall#,27,ATL,NL,8,6,5,0,1,0,0,0,0,0,0,1,2,.200,.333,.200,.533,43,1,0,0,0,0,0,/1,woodabr01
1062,Tim Worrell,28,SDP,NL,50,27,20,1,3,0,0,0,2,0,0,1,10,.150,.190,.150,.340,-6,3,0,0,6,0,0,1,worreti01
1063,Todd Worrell,36,LAD,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,worreto01
1064,Craig Worthington,31,TEX,AL,13,27,19,2,3,0,0,1,4,0,0,6,3,.158,.333,.316,.649,63,6,1,0,0,2,0,/53H,worthcr01
1065,Jamey Wright,21,COL,NL,16,33,26,3,2,2,0,0,0,0,0,2,13,.077,.143,.154,.297,-28,4,0,0,5,0,0,1,wrighja01
1066,Anthony Young,30,HOU,NL,28,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,youngan01
1067,Dmitri Young#,22,STL,NL,16,34,29,3,7,0,0,0,2,0,1,4,5,.241,.353,.241,.594,62,7,1,1,0,0,0,3/H,youngdm01
1068,Eric Young Sr.,29,COL,NL,141,643,568,113,184,23,4,8,74,53,19,47,31,.324,.393,.421,.814,98,239,9,21,2,5,1,*4/H,younger01
1069,Ernie Young,26,OAK,AL,141,528,462,72,112,19,4,19,64,7,5,52,118,.242,.326,.424,.750,88,196,13,7,3,4,1,*89/7H,younger02
1070,Kevin Young,27,KCR,AL,55,143,132,20,32,6,0,8,23,3,3,11,32,.242,.301,.470,.770,92,62,2,0,0,0,0,3H9/5D7,youngke01
1071,Gregg Zaun#,25,TOT,MLB,60,158,139,20,34,9,1,2,15,1,0,14,20,.245,.318,.367,.685,75,51,5,2,1,2,3,2/H,zaungr01
1072,Gregg Zaun#,25,BAL,AL,50,123,108,16,25,8,1,1,13,0,0,11,15,.231,.309,.352,.661,67,38,3,2,0,2,2,2/H,zaungr01
1073,Gregg Zaun#,25,FLA,NL,10,35,31,4,9,1,0,1,2,1,0,3,5,.290,.353,.419,.772,106,13,2,0,1,0,1,2,zaungr01
1074,Todd Zeile,30,TOT,MLB,163,704,617,78,162,32,0,25,99,1,1,82,104,.263,.348,.436,.784,105,269,18,1,0,4,4,*53,zeileto01
1075,Todd Zeile,30,PHI,NL,134,572,500,61,134,24,0,20,80,1,1,67,88,.268,.353,.436,.789,108,218,16,1,0,4,4,53,zeileto01
1076,Todd Zeile,30,BAL,AL,29,132,117,17,28,8,0,5,19,0,0,15,16,.239,.326,.436,.762,91,51,2,0,0,0,0,5,zeileto01
1077,Jon Zuber*,26,PHI,NL,30,99,91,7,23,4,0,1,10,1,0,6,11,.253,.296,.330,.626,66,30,3,0,1,1,1,3H,zuberjo01
